Asset;Strike;IntRate;Vol;Expiration;NAS;BS Price;FDM Price;ErrWithBS;ErrWithBSPer
60;100.0;0.05;0.2;0.2;80;8.241432287531314e-09;9.45850812486e-09;-1.21707583732e-09;0.14767770878433734
60;100.0;0.05;0.2;0.4;80;3.936197511145279e-05;3.85319592281e-05;8.30015883321e-07;0.021086743766565958
60;100.0;0.05;0.2;0.6000000000000001;80;0.0007117812284362614;0.000694423547266;1.73576811704e-05;0.024386258694291108
60;100.0;0.05;0.2;0.8;80;0.0031225475432963765;0.00305759430478;6.4953238518e-05;0.020801360945643103
60;100.0;0.05;0.2;1.0;80;0.007710227394014663;0.00757511574529;0.00013511164873;0.01752369182192007
70;100.0;0.05;0.2;0.2;80;4.373115890524032e-05;4.12984942832e-05;2.43266462205e-06;0.055627719066859135
70;100.0;0.05;0.2;0.4;80;0.0031524683391688326;0.00300891055997;0.000143557779195;0.045538214424273485
70;100.0;0.05;0.2;0.6000000000000001;80;0.01397706267004853;0.0135232527039;0.000453809966195;0.03246819284625529
70;100.0;0.05;0.2;0.8;80;0.030229565738128773;0.0294735885878;0.000755977150294;0.02500787331327266
70;100.0;0.05;0.2;1.0;80;0.048698278852419806;0.0477073766629;0.000990902189547;0.020347786675366866
80;100.0;0.05;0.2;0.2;80;0.007521053649606285;0.006380815143;0.0011402385066;0.15160621898529464
80;100.0;0.05;0.2;0.4;80;0.046593991850356974;0.0427121574584;0.00388183439194;0.08331190863412181
80;100.0;0.05;0.2;0.6000000000000001;80;0.08997879202502317;0.084715029495;0.00526376253003;0.05850003552579168
80;100.0;0.05;0.2;0.8;80;0.1275941600208694;0.121766012488;0.00582814753266;0.04567722795231164
80;100.0;0.05;0.2;1.0;80;0.15894350040533528;0.152936053167;0.00600744723882;0.03779611763612754
90;100.0;0.05;0.2;0.2;80;0.13198266487542476;0.141905256035;-0.0099225911591;0.07518101841985832
90;100.0;0.05;0.2;0.4;80;0.22567402314573842;0.235717757169;-0.0100437340233;0.04450549462143025
90;100.0;0.05;0.2;0.6000000000000001;80;0.2779431259068634;0.28711505063;-0.00917192472352;0.03299928607189554
90;100.0;0.05;0.2;0.8;80;0.31189118780625713;0.320241803446;-0.00835061563928;0.02677413138220835
90;100.0;0.05;0.2;1.0;80;0.33593638864630465;0.343596307635;-0.00765991898905;0.022801694749158025
100;100.0;0.05;0.2;0.2;80;0.521500705502599;0.493877278276;0.0276234272262;0.05296910806594172
100;100.0;0.05;0.2;0.4;80;0.5271413932563233;0.507884787243;0.0192566060135;0.03653024835440364
100;100.0;0.05;0.2;0.6000000000000001;80;0.530104775052087;0.514586893247;0.0155178818048;0.029273235283050324
100;100.0;0.05;0.2;0.8;80;0.5316659205140314;0.518398353788;0.0132675667262;0.02495470598028984
100;100.0;0.05;0.2;1.0;80;0.5323248342619141;0.520607707463;0.0117171267991;0.022011234578926106
110;100.0;0.05;0.2;0.2;80;0.862656253117939;0.870726801007;-0.00807054788869;0.00935546210847988
110;100.0;0.05;0.2;0.4;80;0.7860033808827428;0.793145496365;-0.00714211548205;0.009086621833648799
110;100.0;0.05;0.2;0.6000000000000001;80;0.7450468804684564;0.751273108386;-0.00622622791785;0.00835682704144897
110;100.0;0.05;0.2;0.8;80;0.7182886481898714;0.723826206234;-0.00553755804451;0.007709377084636012
110;100.0;0.05;0.2;1.0;80;0.6987001097205624;0.703708972656;-0.00500886293521;0.007168830898297202
