Asset;Strike;IntRate;Vol;Expiration;TimeStep;NumberAssetStep;NumbreOfSimulation;BSPrice;MCPrice;ErrorWithBS;ErrorWithBSPercentage
100.0;100.0;0.05;0.2;1.0;0.01;100;1000;0.5323248342619141;0.5374446248429033;-0.005119790580989214;0.009617793969894288
100.0;100.0;0.05;0.2;1.0;0.01;100;2000;0.5323248342619141;0.5441032308144084;-0.011778396552494241;0.02212633301022932
100.0;100.0;0.05;0.2;1.0;0.01;100;3000;0.5323248342619141;0.5352250895190684;-0.002900255257154316;0.005448280956449487
100.0;100.0;0.05;0.2;1.0;0.01;100;4000;0.5323248342619141;0.5379202395551538;-0.0055954052932396525;0.010511261044204082
100.0;100.0;0.05;0.2;1.0;0.01;100;5000;0.5323248342619141;0.5210834787414911;0.011241355520423046;0.021117473386357326
100.0;100.0;0.05;0.2;1.0;0.01;100;6000;0.5323248342619141;0.5315787100584823;0.0007461242034317861;0.0014016332799244879
100.0;100.0;0.05;0.2;1.0;0.01;100;7000;0.5323248342619141;0.5292912297757544;0.0030336044861597466;0.005698784446842385
100.0;100.0;0.05;0.2;1.0;0.01;100;8000;0.5323248342619141;0.5267432938172704;0.005581540444643762;0.01048521520207253
100.0;100.0;0.05;0.2;1.0;0.01;100;9000;0.5323248342619141;0.5301518659217312;0.002172968340182879;0.0040820345028534525
100.0;100.0;0.05;0.2;1.0;0.01;100;10000;0.5323248342619141;0.5361129036486024;-0.0037880693866882975;0.007116086161827449
100.0;100.0;0.05;0.2;1.0;0.01;100;10000;0.5323248342619141;0.5322128630081495;0.00011197125376460892;0.0002103438475115683
100.0;100.0;0.05;0.2;1.0;0.005;200;10000;0.5323248342619141;0.530120158274248;0.0022046759876661604;0.004141598974473953
100.0;100.0;0.05;0.2;1.0;0.0033333333333333335;300;10000;0.5323248342619141;0.5285981911950468;0.003726643066867319;0.007000693612264835
100.0;100.0;0.05;0.2;1.0;0.0025;400;10000;0.5323248342619141;0.5347811824543014;-0.00245634819238727;0.004614378353760402
100.0;100.0;0.05;0.2;1.0;0.002;500;10000;0.5323248342619141;0.5277420847129961;0.004582749548918019;0.008608934346022296
100.0;100.0;0.05;0.2;1.0;0.0016666666666666668;600;10000;0.5323248342619141;0.538300731324954;-0.005975897063039914;0.01122603470365175
100.0;100.0;0.05;0.2;1.0;0.0014285714285714286;700;10000;0.5323248342619141;0.5290738059072971;0.0032510283546169916;0.006107226537955249
100.0;100.0;0.05;0.2;1.0;0.00125;800;10000;0.5323248342619141;0.5363031495335026;-0.0039783152715884285;0.007473472991551283
100.0;100.0;0.05;0.2;1.0;0.0011111111111111111;900;10000;0.5323248342619141;0.5433422472748078;-0.011017413012893718;0.020696785691333982
100.0;100.0;0.05;0.2;1.0;0.001;1000;10000;0.5323248342619141;0.5349714283392015;-0.002646594077287401;0.004971765183484236
